partyid,id,libcon,age,biden_likes,biden_dislikes,trump_likes,trump_dislikes,mipp_1
6. Not very strong Republican,320162,6. Conservative,30,NA,"His proposed policies on increasing taxes, handling the pandemic, and court-packing.",His conservative viewpoints.,His incendiary comments.,The economy and Democrats fiscal irresponsibility
5. Independent-Republican,320209,4. Moderate; middle of the road,31,"immigration reform, police refore",The fact that democrats never change and continue to disappoint the people that voted for them. Like many political nominees that promise change or rebulid and when in position do excatly the opposite. Everyone is left with false hope and no change.,"The business mind set that he can contribute to the economy, build jobs and commerce","Hos behavior, comments and the way he confuses people when give a press conference. On some issues hes is not well informed therefore, a spokes person or representative is articulate what the president was trying to say. Most of what he says doesnt make sense and is very confusing.",NA
6. Not very strong Republican,320261,4. Moderate; middle of the road,66,i feel he is more honest than Trump about certain things,NA,"i feel he is an excellent business man.  He got alot done as President.  i feel its important to be honest with the American people, but had he told everyone that Covid was as dangerous as it is, it could’ve caused lots of economic and other types of problems.",i dont completely trust him,The division of our people in this country.
5. Independent-Republican,320278,5. Slightly conservative,74,NA,47 years of establishment in Washington DC while doing nothing whatsoever for me or my peers.His dementia.,"Promises made, promises kept.Strong Law Enforcement stance, both local and immigration.Very Strong support of Veterans and Active Duty Military",His BravoHis unwavering trust of his family on international and internal affairs.,Chinese meddling in our country
5. Independent-Republican,320308,6. Conservative,78,NA,weak and insecure and Dems will take our 1st and 2nd amendment freedoms away,strength and courage.,NA,law and order illigal immigration
1. Strong Democrat,320315,99. Haven't thought much about this,28,HIS ABILITY TO CONNECT WITH PEOPLE AND HAVING INSURANCE FOR ALL,NA,NA,HE IS A RACIST AND A DIVIDER OF PEOPLE.  HE ALSO ACTS LIKE A DICTATOR AND CHANGES THW LAWS TO FIT HIS AGENDA,NA
6. Not very strong Republican,320322,6. Conservative,78,NA,NA,NA,NA,covid 19 vs GNPSocietal Standards of ConductIntegration of diverse groups
7. Strong Republican,320353,6. Conservative,68,"His economic, medical, military, and foreign policies are terrible for the future of our country. He spews lies and hatred whenever he campaigns. He enriches his family not the U.S.A. he portrays a sneaky untrue attitude and is a bully to those who dare oppose him.",NA,Promises he has made have been kept. He has been maligned for his opinions not the results of his policies. His silly comments and words are far overshadowed by what has been accomplished during his first of two terms.,NA,Politicians. Their number one priority is maintaining their office...not helping their constituents or the USA.
3. Independent-Democrat,320360,2. Liberal,66,Although Biden is not my first choice he knows what it takes to be the leader of our country and can reverse a lot of the damage this country has endured under Trump.  He will re-establish the law and strengthen it so someone like Trump will never get away with it again.  Biden will help to heal the divide in our country and give everyone an opportunity to have a better life.  He believes in science and will see us through the pandemic and climate change.  His ideas of re-establishing manufacturing in this country will work  and he will strengthen and grow businesses.  He will see that the wealthy and corporations pay their fair share and not hide in tax shelters.  Biden will make sure DACA residents are given a pathway to citizenship and stop the disgrace Trump has created at our borders.  The human rights violations are abhorrent and those that have caused them must be held accountable.  There is so much that has gone wrong in  our country that to list them all would take hours.  The one thing that people see in Biden is HOPE and we need that now more than ever.,NA,NA,"He is only out for his own self interests and not that of our country and it's citizens.  He has proven time and again he has no leadership skills, no empathy, and is extremely racist.  He ignore our intelligence and sides with corrupt dictators.  He has put unqualified people into popsitions in our Government that are destroying all that has been accomplished in the name of profit.  He has betayed our military and veterans.  He belongs in jail.","Racial Tensions, Unfair Taxes that advantage the Rich, Enviromental (Climate), Health Care, Infrastructure, Unemployment, No Covid Plan, Citizens United, Supreme and Federal Courts, getting Trump to pay for his crimes, Regulating the internet ie Facebook, Twitter, etc... and breaking up the Monoplolies ie Amazon, Facebook,  ect...  Changing from oil and gas to clean power... Stopping pipelines and poisoning water supplies..."
3. Independent-Democrat,320407,3. Slightly liberal,31,While Mr. Biden is not my ideal candidate I feel he’s the best solution to remove Trump from office.,NA,NA,Donald Trump has a history of sexually violent abuse against women and minors. He has no shortage of criminal activity and is an incompetent tyrant. His inflammatory hate speech is irrationational and devastading to the nation.,NA
1. Strong Democrat,320414,2. Liberal,22,"Kamala Harris is my only hope for Joe Biden's possibly presidency. But. unfortunately, I am certain Donald will be in again.",Joe is kind of a moron.,NA,"Ol Donny boy is a good for nothing, lazy, racist, bigot who's nomination for presidential candidate should have never been taken seriously. Get the orange bafoon out of here.","racial injustice, housing for homeless, having a clean food supply, police brutality"
3. Independent-Democrat,320469,2. Liberal,79,his honesty and experience,"if he dies before Nov 3, I will not vote for him",NA,"lying, cheating, the economy, the pandemic, his people",covid19. we need to get it under control while preserving econonic viability of small businesses ... perhaps another stimulus payment to those affected before a vaccine is available.
1. Strong Democrat,320476,2. Liberal,54,He's normal and not a danger to our democracy.,NA,NA,"He's corrupt, compromised and mentally ill.","Democracy is at risk, the Republican party has gone insane, healthcare, pandemic, greed, the rapid spread of lies, propaganda and misinformation on social media."
7. Strong Republican,320490,99. Haven't thought much about this,51,I dont think he is the right fit for my country,NA,NA,NA,NA
5. Independent-Republican,320506,99. Haven't thought much about this,63,NA,if he's so sure on how to fix Washington why didn't he help Obama when they was inn the White House plus i didn't trust him then and don't trust him know,he's down to earth and speaks his mind,NA,corona virtuous and unemployment
1. Strong Democrat,320537,2. Liberal,60,His record as vice president. His wanting to continue healthcare with hopefully changes to make it more affordable. His thoughts on global warming. His pro choice opinion that it is up to a woman to make the choice of abortion or not.,I did vote for him but I am concerned with his mental stability when under the gun and having to make a quick decision. I'm more confident of Biden making a better informed choice than the president we do have.,NA,"His ethics, his handling of the corona virus, his attitude towards immigrants, dreamers, and the wall that was to built. His attitude of global warming, his being in personal debt and not showing his IRS statements. His lack of pulling this country together but consistently causing constant division by his words and actions. His childish tweets and slander.","unification of republicans and democrats in Washington, DC and in our country"
5. Independent-Republican,320544,5. Slightly conservative,63,NA,"He isn't mentally fit to even be running for President. He is a Racist, and he has accomplished nothing in 47 years of office. He has gone totally Socilist, and Americans don't want SOCIALISM!","He has kept every campaign promise that he ran on. Something no other President has come close to doing. He puts AMERICANS first, and citizens of every country should expect their leaders to do the same. He got rid of regulations, made America energy independent, and lowered unemployment for every demographic. He lowered taxes for EVERYONE, and he handled the Pandemic better than any other politician. he works harder than any other President ever has, gives his salary away to Charity, despite being treated like a Pariah by Media, Democrats, and even Republicans. He can't be bought.","i DON'T CARE MUCH FOR HIS ""STYLE"", BUT HE'S NOT A pOLITICIANN. hE GET'S RESULTS, WHICH IS MORE iMPORTANT THAN STYLE.",The threat of socialism.
7. Strong Republican,320575,6. Conservative,27,NA,he supports socialist policies suchc as the Green New Deal,NA,NA,"socialism, black lives matter movement, covid regulations killing small business, globalism, potential of supreme court packing, election fraud"
1. Strong Democrat,320605,1. Extremely liberal,52,He is a democrat and I support what he wants to do as president.,NA,NA,NA,"Covid-19 pandemic, Racial injustic"
6. Not very strong Republican,320612,4. Moderate; middle of the road,49,NA,NA,NA,how he dealt with COVID 19,"covid, economy"
1. Strong Democrat,320636,3. Slightly liberal,38,"Personal ethics, knowledge of government, experience in politics.",NA,NA,"Lack of personal ethics, lake of empathy, lack of general knowledge of government, possible conspirator to treason.",Managing a public health crisis.
7. Strong Republican,320643,5. Slightly conservative,40,"Joe Bidden is not competent to run our country. He appears to be aloof unless his representation steps in to rehearse his narrative. Additionally, I strongly disagree with the Democrat's efforts to push back against our President during these unprecedented times. A time our democracy should stand as one to reunite our country, they choose to resist and defame the achievements of President Trump and delayed numerous policies that affect 'we the people'. Joe Bidden will destroy our beautiful nation along with all of his fellow Democrats that the using him as a puppet to bring our their 'new' vision of socialism and destruction. Just look at Seattle and Portland, are just a few of the sad to even state examples of what our country will transition to. Trump is our President. We need him now more than ever.","As stated in my previous answer Bidden is not compatible of being President, especially during uncertain times when our nation needs a no bullshit President that stands firm is making America great again.","Since Trump has been our President his  accomplishments out way any and all narratives the media spins. By far, the list that I tried to copy and paste of President Trumps achievements for our nation within the response space confuses your survey link by sending a notification that ""you did answer the question."" Enough said. Trump has done a phenomenal job and deserved another 4 years.",NA,"Media creating false narratives and division, election fraud, democratic party agenda and Biden as President."
7. Strong Republican,320667,6. Conservative,32,NA,NA,His policies align more with my views and his work in the middle east providing peace has been outstanding. He doesnt have good leadership but at least he can remember where he is unlike Biden.,NA,"1.  Curtailing the national deficit, and getting government spending under control (stop borrowing money to run the damn country).  2.  Getting healthcare costs under control.  3.  Re-establishing the rule of law in cities facing stark increases in crime and rioting."
1. Strong Democrat,320674,1. Extremely liberal,29,NA,NA,NA,"He is a misogynistic, racist, fake Christian. He is destorying this country daily, and that is why i will not be voting for him.","I think the biggest problem facing our country today is, division. Everyone is separated from blue & red and have forgotten that we are all one nation. in recent events, white supremacy is what has really affected our country and has divided us most."
5. Independent-Republican,320681,6. Conservative,79,NA,"He is showing signs of dementia, and he is not an honest person and used his position to line his families pockets, he's been in politics for in excess of 40 years and I can not see anything of value that he's done for this country","He isn't there to line his pockets like the swamp is, he is there for the people.  It was never the intent of our for fathers to make a career out of being in office, like the president, we should have term limits for the House and the Senate. Talk to the man/woman on the street and they will tell how corrupt they think Washington DC is.  their approval rating is in the tank.",NA,voter fraud....lies to American people
7. Strong Republican,320711,6. Conservative,80. Age 80 or older,NA,Afraid he will allow our nation to change to a socialist goverment!,I totally support our democracy and believe President will also continue to support our present Democry.,NA,Our slide to socialism.
7. Strong Republican,320735,7. Extremely conservative,71,NA,His views on abortion and the 2nd Amendnent to mame a couple.,He wants to keep America free.  He is very patriotic and loves our country.,NA,"First, deciding who has one our election fair and square.  Second, fishing the Border Wall.  Third,  solving  our civil problem of getting along peacefully. Fourth, allowing legal entry, but with the understanding only one language is acceptable and that being English and all will respect our government and Constitution."
2. Not very strong Democrat,320742,3. Slightly liberal,24,I believe in more accessible healthcare like Joe Biden. That is a subject I am very pssionate about,NA,NA,"His lack of empathy for the country. His absurd remarks. His twitter. His policies on healthcare, gun control, etc",NA
4. Independent,320773,99. Haven't thought much about this,44,NA,NA,NA,NA,NA
5. Independent-Republican,320803,4. Moderate; middle of the road,59,NA,"I left the Democratic Party long ago. As a party they are a mess and no longer what they used to/claim to be. Screwing over Bernie Sanders in 2016 for Hillary Clinton, who many disliked, gave Trump an ""upset"" win. 2020 they went away from potentially good candidates like again Bernie, Tulsi Gabbard, and Andrew Yang for another horrible candidate in Joe Biden. Other candidates they pushed prior to Biden all failed to garner the support so they went with Obama's side kick in hopes that the Obama connection would put Democrats in power again. Knowing Joe won't be able to lead this country for 4 years they went with Kamala Harris as VP, the woman they wanted in power all along. She couldn't get enough support in the primaries, after getting exposed by Tulsi, so they found a different way to get their golden child into office. Biden supporters literally only have ""anyone but Trump"" as an argument. They had 4 years to learn from their mistakes and instead we get... Joe. It's embarrassing, the party who claims to be the most righteous and presidential have proven they are no better than Trump. They are what they claim to hate. Joe won't be able to lead this country, and they know it.","Every bad thing about Trump, Biden is as well. Sexual assault allegations, check. Trumps a racist they say well did we forget Joe Biden in the 90's? Far more racist than Trump. Biden was anti gay marriage for the longest. Years in politics and what does he have to show for it? I'd love to abolish the two party system and take money out of politics but for now we are left with this, two parties I truly don't care for. But I'd much rather Trump be president because I at least trust him to keep order and not kneel before the mob. Trump divides us they say, well in order to truly divide the other side has to want division as well. Pointing fingers but they want this country to burn and be a mess so they can defeat Trump. None of these people truly care about America. The true difference between Republicans and Democrats is Republicans piss on you and tell you about it, Democrats piss on you and tell you it's raining. So I'll vote Trump. The anti politician who at least I can trust not to bow for these lunatics running the street and trying to tear down this country. Show up with a better candidate in 2024 Democrats. Maybe after year 8 of Trump you'll have learned your lesson.",He has an ego and a personality that would turn most people off. Which is hilarious that Democrats continue to defeat themselves. Truly an embarrassing showing by the left. He's done some great things and some horrible things. Yet I have not been given a better option.,"Shutting down our country due to covid and how it hurts our economy. There is no trust in our ""experts"" and media to give us the truth. Our experts have been extremely inconsistent throughout this and the media only tells us what helps their party."
-9. Refused,320810,4. Moderate; middle of the road,-9. Refused,NA,he’s an idiot!!,NA,NA,socialists and other extreme groups trying to take over!media meddling and one side panderingvoting fraud
3. Independent-Democrat,320865,3. Slightly liberal,38,"I'm voting for Biden because he's not Trump.  I would have prefered Bernie, but that wasn't meant to be.",At times it seems like he might be in a bit of cognitive decline.,NA,The list is too long.  The bad out weighs the good.,"Class inequality. The poor are getting poorer, the rich are getting richer, and the middle class is rapidly going away."
6. Not very strong Republican,320896,6. Conservative,36,NA,He does not speak on stopping violence and supporting our police officers.  We believe the extreme left will be forced upon him.,"We align with his views on economics, protection and immigration.",NA,NA
5. Independent-Republican,320926,4. Moderate; middle of the road,60,didn't do much when he was vice president,blames the virus on trump,low unemployment,good economy. doing great in my 403b. his stance against China,covid vacine. everyone takes it
4. Independent,320940,4. Moderate; middle of the road,38,NA,NA,NA,NA,"government over reach, people losing their rights, and losing their privacy and politicians make a mockery of the constitution"
3. Independent-Democrat,320995,99. Haven't thought much about this,39,he is a delawarian and I think this country needs the change he will bring,NA,NA,NA,"immigration problem , better healthcare , better parentsl leave"
7. Strong Republican,321004,5. Slightly conservative,71,NA,would be a pawn to the extreme radicals,He has met his promises as President. He stands for keeping America great!,NA,"Unity, it seems we are divided into two groups, democrats/republicans."
4. Independent,321035,99. Haven't thought much about this,29,NA,NA,NA,no one wants a president that argues with our celebs or acts like a racist prick,"crime, black hate, police are corrupt, covid"
7. Strong Republican,321042,6. Conservative,42,NA,everythinghe's a coward,supports policekeeps to his word,NA,Egostitical minds
1. Strong Democrat,321066,4. Moderate; middle of the road,80. Age 80 or older,Biden is a democrat.,NA,NA,NA,"covid19, problem is people aew dying"
1. Strong Democrat,321103,2. Liberal,52,He's the Democratic candidate and not Donald Trump.,NA,NA,He is evil incarnate.,Racial InequityPolitical polarizationCovid-19Global Warming
1. Strong Democrat,321134,4. Moderate; middle of the road,49,NA,Does not have a Clear Cut Plan to bring Positive Change!,NA,"Racial Bias, Does not Represent ""All"" Citizens of United States!","Equalty for ""All"" ,Racism, Police Brutality against Black People,"
7. Strong Republican,321141,7. Extremely conservative,69,NA,He was involved in getting ObamaCare going.,He is a business man.,NA,Not watching our boarders.WelfareAmerican work ethic
2. Not very strong Democrat,321226,3. Slightly liberal,60,NA,dont agree with his ideas of running the country,i think he is best for the position,NA,pandemic/hunger/unemployment
1. Strong Democrat,321271,4. Moderate; middle of the road,69,"His character, his experience, his values. he's not Donald Trump",NA,NA,"His racism, his poor handling of the Corona Virus, He is a compulsive liar.",NA
5. Independent-Republican,321288,4. Moderate; middle of the road,69,NA,He doesnt seem to be functioning at his highest level. He has done not a lot considering he has been in politics so long.,He has accomplished more than any candidate I have previously voted fo. He does what he says he will do.,NA,"economy drop, closing everything is destroying our natio for a virus that has a 95-99.9% survival rate, poor education systems"
6. Not very strong Republican,321301,4. Moderate; middle of the road,27,NA,NA,NA,NA,Social Injustice
1. Strong Democrat,321325,1. Extremely liberal,30,i like what he stand for,NA,NA,NA,"racism, some people judge before getting the facts"
1. Strong Democrat,321332,99. Haven't thought much about this,56,"Having Aheart2serve the American people, he has a genuine concern, care and compassion to see change happens in all areas. police reform, Covid, social security, etc..... list of good to help not hurt people in equality, justice, his experience to reunite the country, healthcare for the less fortunate. hes a better fit for all race of the American people. help the country get back to a normal place to live.the list goes on and on. Biden is my guy. time for real change",NA,NA,"he is a pathetic liar and security to the american people, racism his divisiveness, he selfish and only care about himself, the Mexican border of detainees is unconstitutional, our country have veered so far of what the US represents, Donald Trump have made a laughing mockery of America. Covid-19 his non responsiveness to the virus. i believe many lives could have been saved. hes definetely unfit for this office, hes too mezmerized with harshe dictators of putin, and china jong-yong lee. I only pray the American people wake up from under his spell.","Hate, division, systematic racism- the problem is Trump sowing discord"
7. Strong Republican,321356,6. Conservative,33,NA,I do not trust his mental capacity nor do I believe he will complete his term in office should he be elected. I also strongly disagree with many of his policy issues.,I like his stance on many issues currently.,His inability to stop engaging people on twitter when he has been angered by them,economy- recovery after the shut down caused a pause in economic growth.
4. Independent,321394,3. Slightly liberal,32,NA,NA,He is for our country.  He is not a politic.,He doesn't keep his mouth closed.  He embarrasses the USA.,NA
1. Strong Democrat,321400,3. Slightly liberal,65,"He has relevant experience in gov't. Also, he seems genuinely good-hearted, honorable, and hard-working. I believe we can trust him to work hard, choose talented and capable people for his administration, and best of all - he will tell us the truth.",NA,"He has told over 20,000 lies during his time in office.  He seems uneducated and unconcerned or oblivious to his ignorance. He has no knowledge of history, the Constitution, arts, literature, music, or people.  He seems to have no true friends, no pets, no humor. He has repeatedly demonstrated incompetence and incoherence while damaging our economy, our health and healthcare, our relationships abroad, and the environment. He is not up to the job.","I consider him to be one of the stupidest and certainly most evil president we have ever had. He is wrecking our country. Almost, 200,000 people have died of the virus, otherwise they would probably agree with me.",The COVID-19 pandemic is out of control and wrecking lives and livelihoods.
1. Strong Democrat,321424,4. Moderate; middle of the road,51,NA,NA,NA,I have not been satisfied with Donald Trump as president for the past 4 years.,NA
3. Independent-Democrat,321431,2. Liberal,73,He is not trump,NA,NA,Everythingtrump is an ignorant mean spirited narcissist,Pandemic needs to be handled first
4. Independent,321448,6. Conservative,79,NA,NA,NA,NA,NA
7. Strong Republican,321462,5. Slightly conservative,20,NA,"Outside of just political ideals, his Brain surgeries and health issues make it seem that he isnt fit to serve.",Support for military personnel,His twitter rants,The health of the nation is in shambles. And the misinformation on guns.
6. Not very strong Republican,321493,4. Moderate; middle of the road,24,I agree with a few of his view points,He appears to be confused during many of his public appearances,I agree with some of his ideas on econimic policies,The way he presents himself is always propper,being able to have healthy communication and debate and being able to agree and disagree with eachother.
5. Independent-Republican,321509,4. Moderate; middle of the road,20,"He isn't anti nuclear energy, and wants to decriminalize recreational cannabis","Feels like he is very old, and it will be a lot of his cabinet making the decisions.",He ticks off the media,If hes voted out the media might start attacking the far leftists,Marijuana legalization
4. Independent,321516,3. Slightly liberal,35,His diplomacy and economic  policies,if the assault  complaints against him are proven true.,NA,"Everything about him, from his policies, his ethics, and his personality,  make me want to vote against him.",1. Economic Inequality2. Social Injustices3. Medical Care Expenses4. The current President sowing discord and elevating conspiracy theories
5. Independent-Republican,321585,5. Slightly conservative,23,NA,"pedophile, against guns and freedoms for all americans","military support, protecting gun rights, more jobs",NA,social media. there are too many people online and this allows for every single thought that runs through someone’s head to be heard by millions. i dont believe this is productive to society
3. Independent-Democrat,321592,4. Moderate; middle of the road,57,He isn't Trump. more trustworthy and better leader,NA,NA,"Bully, terrible leader, liar","Coronavirus getting it under control, vaccine, testing, masks"
3. Independent-Democrat,321608,3. Slightly liberal,66,he's the democratic candidate,straightforward,NA,"con man, his mannerisms and dealings with people",party politics voting party lines(i do this but i feel i have no choice)
5. Independent-Republican,321622,6. Conservative,62,NA,Not mentally fit President,pragmatic decision maker & hands on president,lacks ethics in conversations,Unemployment - people need to go back to work common sense safely
2. Not very strong Democrat,321677,2. Liberal,65,"good moral character, measured and thoughtful, willing to work across the aisle, will find good people to help him",NA,NA,"no integrity, dangerously out for himself, no consience, willing to break laws and make mockery of democracy","climate change, income and justice disparity, threats to democracy (voting rights), foreign trade/competition"
3. Independent-Democrat,321691,4. Moderate; middle of the road,67,Intends to keep Healthcare for All a priority Won't raise taxes for middle & lower class incomesSeems more for the People & not just for glory of the job,NA,NA,He is Arrogant Doesn't care about middle or lower class peopleIntends to eliminate healthcare for those that need it mostHas been Unhelpful about PandemicDoesn't believe in Climate Change,pandemic - concern for health care & dependable vaccine
4. Independent,321813,3. Slightly liberal,49,NA,NA,NA,NA,stimulus checks and a mess with election
5. Independent-Republican,321820,5. Slightly conservative,36,NA,"Is he mentally, intellectually and emotionally capable to handle this role? Concerns also for the pedophilia and sexual predator issues that have come up. I am also not trusting of the democratic party in general these days, as they seem to glorify and justify bad/violent/erratic behavior rather than promoting personal responsibility and accountability for individual actions and ways each individual can make a difference to improve their own lives and their communities. Just as Trump blurts out ridiculous things, Biden isn't much better. The fact that he tells black people that they have to vote for him is bullshit in general, who wants some old white dude telling them what they SHOULD be doing.","He is crazy and unprofessional, unpolished, if you will. However, he's not a lifelong politician and doesn't have to continue to be in politics. He does blurt out whatever is on his mind, so it's not like he's keeping anything from the people and is honest, even though much of what he says and does is unpopular and most don't agree with. In general I lean more right than left but it is hard with this guy... although local elections are probably more impactful.","His impulsivity. Not sure if anything is well thought out, but I hope for all of our sakes some of it is. Especially when it comes to keeping the peace with other countries.",Big Tech and the need for regulations on social media/AI in regards to invasion of personal privacy for profit. The biased mainstream media in general and wanting diversity in every aspect except for beliefs and thoughts/opinions. the “fact checking” on social media. i do think racism is a problem but i also think everyone is responsible for improving themselves... those who break out of poverty and break glass ceilings work super hard and dont wait for handouts or for others to change. they change themselves
6. Not very strong Republican,321851,4. Moderate; middle of the road,27,NA,NA,He says what he thinks,NA,NA
5. Independent-Republican,321868,4. Moderate; middle of the road,26,NA,Perv and political views,Political Views on many topics,prefer not to answer,racism and poverty
7. Strong Republican,321905,6. Conservative,59,NA,The man has no platform or plan for going forward.,He has done what he said he would do so far.,NA,"Economy, Illegal Immigration, Crime"
4. Independent,321943,99. Haven't thought much about this,61,NA,NA,NA,NA,NA
1. Strong Democrat,321974,99. Haven't thought much about this,30,"caring, has a plan, listens to science, will lead country in good direction",NA,NA,"racism, sexist, ignorant, promoting wrong doing.  doesnt listen to science",COVID outbreak and systemic rasim
1. Strong Democrat,322021,99. Haven't thought much about this,25,"he brings experience, leadership, calm, intelligence and ability to unify",he is the best and only candidate,NA,NA,NA
1. Strong Democrat,322038,2. Liberal,38,"Experience, dignity, and genuine concern for others.",NA,NA,"He is a disgrace to America. He is divisive, brutish, and narrow-minded. he is of poor character, low intellect, and ill-suited to manage a pig farm much less the country.",covid pandemic; donald trump
4. Independent,322083,4. Moderate; middle of the road,51,NA,NA,I feel he isn't the same like the other life long politicians,He shoots of at the mouth to much with out thinking and he needs to stay off of social media,Immigration and healthcare/services for veterans
7. Strong Republican,322137,6. Conservative,80. Age 80 or older,NA,I don't believe he in good health.,He is such a strong business man and I think he is best for getting the economy back to where it needs to be for the American people to survive.,NA,I believe the biggest problem facing our country today is Covid 19 virus.  This has caused such a problem in the education system and in the overall economy.
-9. Refused,322182,-9. Refused,-9. Refused,NA,NA,NA,NA,Division people need to be united as Americans. so many other countries look up to USA and look at how Americans are at the moment. We need to be united and protect our countries future not divide it
5. Independent-Republican,322199,5. Slightly conservative,80. Age 80 or older,NA,OBOMA/       MENTAL HEALTH ISUES DO NOT TRUST,HE IS NOT APOLATISN,NA,flu all the restrictions
4. Independent,322243,4. Moderate; middle of the road,-9. Refused,"While still a politician, I believe he is more compassionate, understanding and respectable than trump",unsure about his son's and his involvement in foreign illegal activities.  But trump is the same if not worse,NA,"Detest his handling of the covid 19 pandemic,  poor handling of riotstrump is self centered  self serving  pompous racist sexist ass",NA
7. Strong Republican,322267,4. Moderate; middle of the road,37,I dont care for him,I dont care for him,he does great things for our economy,NA,the hatred and discontentment
7. Strong Republican,322274,7. Extremely conservative,43,NA,stance on abortionfar left radical viewspoor economic planopen border stancesocialist beliefs,proven economic growthbuilding the wall and tightening entry for illegal alienspro-lifefor the peoplenot a career politician,NA,abortionillegal immigrantspotential socialism
1. Strong Democrat,322281,1. Extremely liberal,65,"Political experience, intelligence, compassion, respect for his fellow man and woman, respect for the United States' military, respect for the Office of the President, non-racist qualities, desire to rebuild the United States after Donald Trump has almost destroyed it.",NA,NA,"Donald Trump was impeached for treasonous activities trying to get Ukraine to invent dirt on his opponent (Joe Biden), Trump continues to lie about a lot of things, Trump has committed numerous crimes and unethical behavior, Trump has a history of sexism and has raped/abused women, Trump has bribed political officials and Senators to vote for him and not against him, Trump has belittled the U.S. veterans, and he has lied about the severity of the COVID-19 virus costing many thousands of American lives.  He should be in prison for his criminal acts.","The COVID-19 virus, unemployment, racism, gun violence, climate change, recession, divided country because of Trump"
2. Not very strong Democrat,322328,4. Moderate; middle of the road,76,He is for the working class people. He has a political career and knows how to navigate the political scene. His experience is noteworthy compared to his counterpart.,NA,NA,"Donald Trump is dishonest, crooked, and unreliable.","Economy - unemployment, decent wages, assistance for small business owners during pandemic.Social justice - improved police training and public relations, justice for those murdered senselessly, reverse Jim Crow laws, equality for pay, healthcare, and financial resources."
7. Strong Republican,322335,99. Haven't thought much about this,56,NA,he is demented and needs to have supervision,he has done everything he said he would and more.  no question he should stay in office.,NA,the economy is going to tank; constitutional rights are going to be compromised; police are not supported; disrespect for military and freedom they fought for
1. Strong Democrat,322366,2. Liberal,39,"He is the candidate I feel can bring our country back to some semblance of reason, equity, and unity.  He supports policies that I support and Donald Trump has been terrible for American democracy.",NA,"Donald Trump is an egomaniac and sociopath.  He is motivated by money, power, winning, notoriety, and fame.  He cannot relate to the struggles of average Americans, even though he claims to do so.  There is every indication he is racist towards POC and he does not have the best interests of Americans in mind when it comes to domestic or international issues.  I could never vote for a candidate like him.  It will take years to undo what he has done to the office of the president, the executive branch, the judicial branch (and appointees), justice system, and our legislative branch.  I am ready for civility to return, and Donald Trump takes us further and further away from that.","His public policies with regards to immigration, international relations, health care, racial and gender equality, women's health, the environment, regulation of business, judicial nominees, public education, and a complete lack of awareness of what is written in the U.S. constitution.","Currently, we face major economic issues resulting from the COVID-19 pandemic.  Many Americans are suffering from unemployment, housing issues, hunger, etc.  That is the number one issue we must deal with now.  We also must confront systemic racism, offer solutions to the climate crisis, and fund public education.  Another great problem we face is the great division that has grown in our country as a result of rhetoric and misinformation in the media and social media platforms."
3. Independent-Democrat,322380,99. Haven't thought much about this,40,"Better testing for Coronavirus, raising minimum wage for the citizens, and criminal justice reform",NA,His extension on unemployment,His decision making needs work,Unemployment benefits are running out for millions of Americans and Congress needs to act fast in remedying that situation
7. Strong Republican,322465,5. Slightly conservative,80. Age 80 or older,"It means that if both sides cannot agree on a certain law, he has the skills to negoiate a fair solution. Maybe our government will function again.",As I just said on this question.....he has the negoitating skills to bring both parties together and get our governmemt functioning again.,"He is addressing problems in our society that needed to be addressed. He has tried to slow down illegal immigration. The Congress and Senate pass laws and then do nothing about enforcing that law. He has tried to address trade laws that were not beneficial to American business. Sadly, he is not a leader. his own personality flaws will not allow success.","His personality flaws prevent him from being able to bring people together , to unite us as a country .","divisions on the problems......health care, immigration,inner structures, national debt,racial inequality, to name a few....and the inability to work together to address these problems."
4. Independent,322526,99. Haven't thought much about this,27,NA,NA,NA,NA,NA
7. Strong Republican,322533,6. Conservative,36,NA,His views on hot button topics,He is real.  Non-political in his answers.,NA,Abortion and socialist views
6. Not very strong Republican,322540,6. Conservative,28,NA,Pandering to leftist ideologies and outrage by offering vague solutions that show no conclusive results,Reducing taxes and overbearing regulations stimulate the economy,unnecessary inflammatory rhetoric,normalization of violent and/or distruptive protests and riots - ever growing concern of the onset of socialism in america
-9. Refused,322564,99. Haven't thought much about this,-9. Refused,Cares about country,NA,NA,He's an idiot,NA
1. Strong Democrat,322632,4. Moderate; middle of the road,62,NA,NA,he lies. he uas no empathy hes the worst ever,lies lies lies. he opems mouth he lies,"racism, disrespect for law enforcement.  blm"
5. Independent-Republican,322649,4. Moderate; middle of the road,59,"He's not Don the Con Trump. He has government experience, and is respected by other world leaders.",NA,NA,"He's a liar, uneducated, unfit for office, narcissistic, racist, divider, cares only about himself, manwhore, caused the US to lose world respect and prominence, only cares about money, loves dictators, will screw anyone over for a dollar.  Do I need to go on, or do you get the idea?",the political divide
7. Strong Republican,322656,6. Conservative,74,NA,NA,NA,His lack of knowledge with regards to politics and world issues.His unwillingness to listen to the American public and often times those appointed around him.,Most important problem facing this county is the Coronavirus.
3. Independent-Democrat,322694,4. Moderate; middle of the road,71,He will work with others to solve the VIRUS problem,NA,He does not respect professionals,His friendship with Putin,The Federal Government is ignoring medical issues like the Coronavirus and high medical cost.
3. Independent-Democrat,322700,4. Moderate; middle of the road,28,he's been where we are and cares to help Americans,NA,NA,ignoring the pandemic,covid 19 has over-run our country. People need guidance so we can get this under control
