,age_group,partyid_3cat,libcon,trump_therm,harris_therm
1895,25-34,Democrat,2. Liberal,0.0,100.0
1898,45-54,Independent,4. Moderate; middle of the road,85.0,50.0
1899,35-44,Republican,7. Extremely conservative,85.0,0.0
1900,35-44,Democrat,2. Liberal,0.0,100.0
1901,45-54,Democrat,3. Slightly liberal,0.0,70.0
1903,25-34,Democrat,4. Moderate; middle of the road,70.0,0.0
1904,55-64,Democrat,4. Moderate; middle of the road,100.0,0.0
1906,35-44,Democrat,1. Extremely liberal,0.0,72.0
1909,45-54,Republican,3. Slightly liberal,80.0,20.0
1911,35-44,Republican,4. Moderate; middle of the road,30.0,75.0
1914,55-64,Republican,2. Liberal,100.0,40.0
1915,35-44,Democrat,2. Liberal,15.0,15.0
1918,45-54,Republican,5. Slightly conservative,65.0,55.0
1919,55-64,Democrat,2. Liberal,0.0,100.0
1920,25-34,Democrat,4. Moderate; middle of the road,60.0,20.0
1921,25-34,Democrat,2. Liberal,0.0,90.0
1922,45-54,Democrat,4. Moderate; middle of the road,0.0,70.0
1923,55-64,Democrat,4. Moderate; middle of the road,30.0,60.0
1925,35-44,Democrat,2. Liberal,0.0,80.0
1927,55-64,Republican,6. Conservative,85.0,15.0
1928,55-64,Republican,5. Slightly conservative,100.0,0.0
1930,55-64,Republican,6. Conservative,100.0,0.0
1932,45-54,Democrat,1. Extremely liberal,0.0,75.0
1935,45-54,Democrat,4. Moderate; middle of the road,0.0,50.0
1936,35-44,Republican,6. Conservative,90.0,30.0
1938,45-54,Republican,6. Conservative,70.0,15.0
1939,25-34,Independent,5. Slightly conservative,60.0,40.0
1940,55-64,Republican,6. Conservative,100.0,0.0
1941,45-54,Democrat,2. Liberal,0.0,85.0
1942,55-64,Republican,6. Conservative,70.0,0.0
1943,55-64,Independent,4. Moderate; middle of the road,0.0,0.0
1945,18-24,Republican,6. Conservative,95.0,0.0
1946,55-64,Republican,6. Conservative,70.0,15.0
1947,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
1949,55-64,Republican,6. Conservative,90.0,0.0
1950,35-44,Democrat,1. Extremely liberal,0.0,100.0
1951,45-54,Democrat,4. Moderate; middle of the road,40.0,40.0
1954,55-64,Democrat,1. Extremely liberal,0.0,100.0
1955,35-44,Republican,6. Conservative,80.0,25.0
1956,35-44,Republican,6. Conservative,70.0,25.0
1958,45-54,Republican,6. Conservative,99.0,0.0
1959,45-54,Republican,5. Slightly conservative,70.0,40.0
1960,35-44,Independent,4. Moderate; middle of the road,30.0,0.0
1961,45-54,Democrat,2. Liberal,0.0,80.0
1966,55-64,Democrat,2. Liberal,0.0,70.0
1968,45-54,Republican,6. Conservative,60.0,15.0
1969,35-44,Democrat,3. Slightly liberal,0.0,100.0
1970,45-54,Republican,7. Extremely conservative,85.0,0.0
1972,55-64,Republican,6. Conservative,85.0,85.0
1973,35-44,Republican,5. Slightly conservative,85.0,0.0
1974,35-44,Republican,5. Slightly conservative,100.0,30.0
1975,65+,Republican,6. Conservative,100.0,0.0
1976,25-34,Democrat,3. Slightly liberal,15.0,50.0
1979,45-54,Republican,7. Extremely conservative,100.0,0.0
1987,55-64,Democrat,3. Slightly liberal,0.0,100.0
1988,35-44,Democrat,2. Liberal,0.0,60.0
1991,65+,Democrat,4. Moderate; middle of the road,0.0,85.0
1992,25-34,Independent,4. Moderate; middle of the road,0.0,59.0
1994,45-54,Republican,6. Conservative,85.0,0.0
1995,35-44,Democrat,3. Slightly liberal,15.0,70.0
1996,35-44,Democrat,1. Extremely liberal,0.0,85.0
1997,55-64,Democrat,3. Slightly liberal,0.0,85.0
1998,55-64,Republican,5. Slightly conservative,30.0,40.0
1999,35-44,Republican,6. Conservative,100.0,0.0
2000,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
2002,55-64,Democrat,2. Liberal,0.0,100.0
2003,45-54,Republican,5. Slightly conservative,100.0,0.0
2006,55-64,Democrat,1. Extremely liberal,0.0,85.0
2007,55-64,Democrat,6. Conservative,50.0,50.0
2008,35-44,Republican,5. Slightly conservative,25.0,50.0
2012,45-54,Republican,6. Conservative,85.0,0.0
2013,35-44,Republican,6. Conservative,100.0,0.0
2014,45-54,Republican,5. Slightly conservative,100.0,30.0
2015,55-64,Republican,5. Slightly conservative,40.0,60.0
2016,35-44,Republican,6. Conservative,100.0,0.0
2017,35-44,Democrat,2. Liberal,0.0,90.0
2018,45-54,Democrat,2. Liberal,0.0,93.0
2019,45-54,Republican,5. Slightly conservative,85.0,15.0
2020,35-44,Democrat,1. Extremely liberal,0.0,70.0
2023,55-64,Republican,6. Conservative,50.0,0.0
2024,45-54,Republican,4. Moderate; middle of the road,15.0,30.0
2025,45-54,Democrat,3. Slightly liberal,1.0,70.0
2028,45-54,Democrat,2. Liberal,0.0,100.0
2031,25-34,Democrat,2. Liberal,0.0,100.0
2037,55-64,Democrat,2. Liberal,0.0,100.0
2038,35-44,Democrat,1. Extremely liberal,0.0,70.0
2040,45-54,Democrat,3. Slightly liberal,100.0,0.0
2041,35-44,Republican,5. Slightly conservative,48.0,35.0
2042,55-64,Democrat,1. Extremely liberal,0.0,65.0
2045,35-44,Democrat,3. Slightly liberal,0.0,50.0
2049,55-64,Democrat,2. Liberal,0.0,85.0
2050,35-44,Democrat,2. Liberal,0.0,88.0
2051,55-64,Democrat,4. Moderate; middle of the road,60.0,30.0
2055,35-44,Republican,6. Conservative,85.0,15.0
2056,45-54,Democrat,3. Slightly liberal,0.0,70.0
2057,45-54,Republican,6. Conservative,70.0,40.0
2058,25-34,Republican,4. Moderate; middle of the road,50.0,15.0
2059,35-44,Republican,5. Slightly conservative,70.0,15.0
2061,55-64,Democrat,4. Moderate; middle of the road,60.0,60.0
2063,35-44,Democrat,3. Slightly liberal,0.0,95.0
2064,55-64,Republican,4. Moderate; middle of the road,40.0,39.0
2065,35-44,Republican,6. Conservative,85.0,0.0
2066,55-64,Democrat,5. Slightly conservative,40.0,50.0
2067,45-54,Republican,2. Liberal,100.0,100.0
2068,65+,Republican,6. Conservative,85.0,0.0
2069,55-64,Democrat,2. Liberal,0.0,85.0
2076,35-44,Democrat,4. Moderate; middle of the road,70.0,50.0
2084,35-44,Republican,6. Conservative,100.0,40.0
2088,55-64,Republican,4. Moderate; middle of the road,60.0,15.0
2090,25-34,Democrat,2. Liberal,15.0,40.0
2094,45-54,Democrat,3. Slightly liberal,10.0,85.0
2095,45-54,Republican,6. Conservative,90.0,15.0
2096,45-54,Democrat,1. Extremely liberal,0.0,100.0
2097,55-64,Democrat,3. Slightly liberal,0.0,85.0
2099,25-34,Democrat,3. Slightly liberal,0.0,85.0
2100,35-44,Republican,6. Conservative,90.0,0.0
2101,45-54,Democrat,4. Moderate; middle of the road,30.0,70.0
2102,35-44,Democrat,2. Liberal,0.0,100.0
2103,45-54,Democrat,4. Moderate; middle of the road,0.0,70.0
2108,25-34,Republican,5. Slightly conservative,60.0,60.0
2113,35-44,Democrat,1. Extremely liberal,0.0,70.0
2114,35-44,Democrat,2. Liberal,0.0,70.0
2115,65+,Republican,5. Slightly conservative,85.0,10.0
2116,25-34,Democrat,2. Liberal,5.0,80.0
2119,55-64,Republican,7. Extremely conservative,90.0,0.0
2120,45-54,Republican,5. Slightly conservative,100.0,0.0
2121,45-54,Democrat,1. Extremely liberal,0.0,100.0
2122,45-54,Democrat,2. Liberal,50.0,60.0
2125,35-44,Republican,6. Conservative,90.0,0.0
2126,45-54,Democrat,1. Extremely liberal,0.0,100.0
2127,55-64,Republican,7. Extremely conservative,100.0,15.0
2128,25-34,Democrat,3. Slightly liberal,0.0,75.0
2130,35-44,Democrat,3. Slightly liberal,0.0,85.0
2133,25-34,Democrat,2. Liberal,0.0,70.0
2138,45-54,Democrat,4. Moderate; middle of the road,70.0,100.0
2141,35-44,Democrat,4. Moderate; middle of the road,40.0,25.0
2142,55-64,Republican,6. Conservative,90.0,10.0
2144,55-64,Democrat,4. Moderate; middle of the road,15.0,70.0
2145,55-64,Republican,5. Slightly conservative,70.0,0.0
2146,55-64,Democrat,2. Liberal,0.0,85.0
2148,55-64,Republican,5. Slightly conservative,79.0,0.0
2149,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
2151,55-64,Republican,6. Conservative,100.0,0.0
2154,45-54,Republican,5. Slightly conservative,25.0,25.0
2155,65+,Republican,6. Conservative,85.0,15.0
2156,25-34,Republican,5. Slightly conservative,30.0,0.0
2157,35-44,Republican,4. Moderate; middle of the road,85.0,0.0
2159,25-34,Democrat,2. Liberal,0.0,85.0
2160,55-64,Democrat,3. Slightly liberal,40.0,70.0
2163,25-34,Republican,5. Slightly conservative,80.0,15.0
2165,25-34,Democrat,4. Moderate; middle of the road,40.0,60.0
2166,25-34,Democrat,2. Liberal,0.0,100.0
2167,55-64,Republican,5. Slightly conservative,65.0,65.0
2172,35-44,Democrat,3. Slightly liberal,10.0,90.0
2173,25-34,Democrat,2. Liberal,0.0,60.0
2175,35-44,Independent,1. Extremely liberal,50.0,15.0
2177,55-64,Democrat,3. Slightly liberal,0.0,70.0
2180,25-34,Democrat,2. Liberal,0.0,70.0
2181,18-24,Democrat,1. Extremely liberal,0.0,5.0
2184,55-64,Democrat,1. Extremely liberal,0.0,85.0
2186,35-44,Democrat,4. Moderate; middle of the road,60.0,50.0
2187,55-64,Democrat,5. Slightly conservative,0.0,90.0
2189,45-54,Democrat,2. Liberal,0.0,90.0
2190,55-64,Democrat,3. Slightly liberal,0.0,85.0
2191,55-64,Democrat,2. Liberal,60.0,85.0
2192,25-34,Republican,4. Moderate; middle of the road,50.0,60.0
2196,35-44,Democrat,2. Liberal,15.0,85.0
2197,25-34,Democrat,2. Liberal,15.0,50.0
2198,35-44,Democrat,4. Moderate; middle of the road,0.0,70.0
2199,25-34,Democrat,3. Slightly liberal,77.0,65.0
2200,45-54,Democrat,4. Moderate; middle of the road,0.0,100.0
2201,35-44,Democrat,3. Slightly liberal,0.0,95.0
2202,45-54,Democrat,3. Slightly liberal,0.0,85.0
2203,35-44,Democrat,2. Liberal,0.0,60.0
2205,45-54,Democrat,4. Moderate; middle of the road,10.0,85.0
2207,25-34,Democrat,2. Liberal,0.0,85.0
2211,55-64,Democrat,2. Liberal,0.0,100.0
2212,45-54,Democrat,3. Slightly liberal,0.0,100.0
2213,55-64,Democrat,2. Liberal,0.0,85.0
2217,45-54,Democrat,1. Extremely liberal,0.0,75.0
2220,45-54,Democrat,2. Liberal,15.0,70.0
2224,45-54,Democrat,3. Slightly liberal,0.0,80.0
2225,55-64,Republican,4. Moderate; middle of the road,40.0,15.0
2226,55-64,Republican,6. Conservative,100.0,0.0
2228,25-34,Democrat,1. Extremely liberal,0.0,15.0
2230,45-54,Independent,2. Liberal,85.0,100.0
2231,45-54,Democrat,3. Slightly liberal,25.0,35.0
2232,25-34,Democrat,1. Extremely liberal,0.0,60.0
2233,65+,Republican,6. Conservative,40.0,0.0
2234,45-54,Independent,7. Extremely conservative,60.0,60.0
2237,45-54,Democrat,3. Slightly liberal,0.0,70.0
2238,55-64,Democrat,3. Slightly liberal,60.0,60.0
2240,45-54,Democrat,2. Liberal,0.0,90.0
2241,35-44,Democrat,2. Liberal,0.0,85.0
2242,25-34,Republican,4. Moderate; middle of the road,30.0,30.0
2243,25-34,Democrat,4. Moderate; middle of the road,15.0,85.0
2244,45-54,Democrat,4. Moderate; middle of the road,30.0,15.0
2245,25-34,Republican,7. Extremely conservative,100.0,0.0
2247,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
2248,35-44,Democrat,2. Liberal,15.0,50.0
2249,45-54,Democrat,5. Slightly conservative,60.0,0.0
2252,55-64,Republican,6. Conservative,100.0,0.0
2254,35-44,Democrat,4. Moderate; middle of the road,0.0,85.0
2255,55-64,Republican,6. Conservative,85.0,0.0
2257,25-34,Democrat,2. Liberal,0.0,100.0
2259,55-64,Republican,5. Slightly conservative,60.0,15.0
2261,18-24,Democrat,2. Liberal,0.0,60.0
2262,25-34,Democrat,2. Liberal,0.0,75.0
2264,45-54,Democrat,2. Liberal,0.0,100.0
2266,18-24,Democrat,1. Extremely liberal,0.0,50.0
2268,55-64,Republican,5. Slightly conservative,50.0,20.0
2269,25-34,Democrat,2. Liberal,0.0,85.0
2271,35-44,Republican,4. Moderate; middle of the road,100.0,0.0
2272,45-54,Democrat,2. Liberal,10.0,90.0
2273,45-54,Democrat,1. Extremely liberal,0.0,100.0
2275,25-34,Republican,5. Slightly conservative,65.0,0.0
2276,35-44,Democrat,3. Slightly liberal,30.0,60.0
2277,55-64,Republican,1. Extremely liberal,48.0,100.0
2278,25-34,Republican,4. Moderate; middle of the road,100.0,0.0
2279,45-54,Democrat,3. Slightly liberal,0.0,89.0
2286,25-34,Independent,6. Conservative,15.0,15.0
2289,25-34,Democrat,2. Liberal,0.0,85.0
2291,45-54,Republican,2. Liberal,70.0,0.0
2295,45-54,Democrat,2. Liberal,7.0,90.0
2298,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
2301,55-64,Democrat,3. Slightly liberal,0.0,85.0
2305,55-64,Republican,6. Conservative,40.0,50.0
2306,35-44,Independent,2. Liberal,100.0,15.0
2307,25-34,Republican,3. Slightly liberal,85.0,50.0
2309,35-44,Republican,1. Extremely liberal,100.0,0.0
2312,45-54,Democrat,4. Moderate; middle of the road,0.0,70.0
2313,25-34,Democrat,1. Extremely liberal,0.0,85.0
2314,25-34,Democrat,2. Liberal,0.0,80.0
2316,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
2317,55-64,Democrat,4. Moderate; middle of the road,30.0,70.0
2318,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
2320,35-44,Republican,5. Slightly conservative,30.0,30.0
2321,55-64,Democrat,4. Moderate; middle of the road,0.0,90.0
2323,25-34,Democrat,2. Liberal,15.0,50.0
2325,55-64,Independent,4. Moderate; middle of the road,30.0,30.0
2328,55-64,Republican,6. Conservative,100.0,0.0
2334,45-54,Republican,6. Conservative,85.0,0.0
2335,55-64,Democrat,2. Liberal,15.0,100.0
2336,25-34,Republican,4. Moderate; middle of the road,100.0,40.0
2337,45-54,Republican,4. Moderate; middle of the road,15.0,15.0
2340,45-54,Democrat,7. Extremely conservative,0.0,80.0
2343,25-34,Republican,6. Conservative,70.0,15.0
2344,35-44,Democrat,3. Slightly liberal,0.0,100.0
2345,45-54,Democrat,4. Moderate; middle of the road,0.0,60.0
2346,65+,Republican,5. Slightly conservative,40.0,40.0
2348,45-54,Democrat,2. Liberal,0.0,85.0
2349,25-34,Democrat,2. Liberal,0.0,85.0
2351,18-24,Democrat,1. Extremely liberal,0.0,85.0
2361,25-34,Republican,6. Conservative,100.0,0.0
2363,45-54,Democrat,4. Moderate; middle of the road,0.0,80.0
2366,18-24,Democrat,4. Moderate; middle of the road,90.0,60.0
2367,18-24,Democrat,2. Liberal,0.0,90.0
2368,45-54,Democrat,2. Liberal,0.0,60.0
2369,25-34,Republican,7. Extremely conservative,100.0,0.0
2374,25-34,Republican,5. Slightly conservative,15.0,40.0
2375,18-24,Republican,6. Conservative,30.0,60.0
2376,45-54,Democrat,4. Moderate; middle of the road,5.0,40.0
2378,45-54,Democrat,2. Liberal,0.0,85.0
2379,45-54,Democrat,5. Slightly conservative,0.0,85.0
2381,35-44,Democrat,1. Extremely liberal,0.0,85.0
2383,45-54,Republican,5. Slightly conservative,100.0,0.0
2389,65+,Democrat,3. Slightly liberal,15.0,85.0
2390,25-34,Democrat,4. Moderate; middle of the road,70.0,50.0
2393,55-64,Republican,6. Conservative,70.0,40.0
2396,55-64,Republican,6. Conservative,100.0,0.0
2406,55-64,Republican,6. Conservative,100.0,0.0
2407,35-44,Republican,7. Extremely conservative,80.0,15.0
2410,35-44,Republican,4. Moderate; middle of the road,100.0,0.0
2413,25-34,Democrat,2. Liberal,0.0,85.0
2415,45-54,Republican,5. Slightly conservative,85.0,30.0
2416,25-34,Republican,6. Conservative,85.0,10.0
2417,55-64,Democrat,1. Extremely liberal,0.0,100.0
2418,55-64,Democrat,2. Liberal,0.0,60.0
2420,18-24,Democrat,4. Moderate; middle of the road,15.0,60.0
2421,55-64,Republican,4. Moderate; middle of the road,70.0,30.0
2425,55-64,Democrat,2. Liberal,0.0,100.0
2427,65+,Democrat,2. Liberal,0.0,85.0
2430,25-34,Republican,5. Slightly conservative,60.0,30.0
2433,45-54,Republican,6. Conservative,99.0,5.0
2434,35-44,Republican,6. Conservative,100.0,30.0
2439,18-24,Republican,4. Moderate; middle of the road,70.0,10.0
2440,25-34,Republican,5. Slightly conservative,60.0,15.0
2442,55-64,Democrat,4. Moderate; middle of the road,50.0,60.0
2446,55-64,Democrat,4. Moderate; middle of the road,15.0,60.0
2449,35-44,Democrat,2. Liberal,0.0,85.0
2450,55-64,Republican,7. Extremely conservative,100.0,0.0
2451,35-44,Democrat,4. Moderate; middle of the road,100.0,0.0
2454,65+,Republican,6. Conservative,90.0,15.0
2455,55-64,Republican,6. Conservative,95.0,5.0
2458,35-44,Democrat,2. Liberal,30.0,100.0
2461,18-24,Republican,5. Slightly conservative,85.0,0.0
2462,35-44,Republican,6. Conservative,50.0,0.0
2464,65+,Republican,6. Conservative,95.0,0.0
2468,25-34,Independent,4. Moderate; middle of the road,0.0,0.0
2473,35-44,Republican,6. Conservative,85.0,0.0
2475,65+,Democrat,4. Moderate; middle of the road,85.0,15.0
2477,35-44,Republican,5. Slightly conservative,75.0,0.0
2478,25-34,Republican,6. Conservative,85.0,15.0
2482,55-64,Republican,6. Conservative,100.0,0.0
2484,35-44,Republican,7. Extremely conservative,80.0,15.0
2486,65+,Republican,6. Conservative,100.0,0.0
2488,25-34,Republican,6. Conservative,100.0,0.0
2494,55-64,Republican,7. Extremely conservative,100.0,0.0
2497,35-44,Independent,4. Moderate; middle of the road,0.0,85.0
2498,45-54,Independent,4. Moderate; middle of the road,60.0,0.0
2499,25-34,Democrat,5. Slightly conservative,15.0,85.0
2501,55-64,Democrat,4. Moderate; middle of the road,30.0,60.0
2502,35-44,Democrat,4. Moderate; middle of the road,70.0,65.0
2504,55-64,Independent,4. Moderate; middle of the road,15.0,60.0
2513,45-54,Republican,6. Conservative,100.0,0.0
2515,45-54,Republican,6. Conservative,85.0,25.0
2517,35-44,Republican,6. Conservative,90.0,0.0
2520,25-34,Democrat,1. Extremely liberal,0.0,100.0
2521,25-34,Democrat,2. Liberal,0.0,30.0
2522,18-24,Democrat,4. Moderate; middle of the road,30.0,70.0
2523,25-34,Democrat,1. Extremely liberal,0.0,90.0
2525,25-34,Democrat,4. Moderate; middle of the road,40.0,60.0
2526,25-34,Democrat,1. Extremely liberal,100.0,100.0
2528,25-34,Republican,4. Moderate; middle of the road,70.0,30.0
2529,65+,Democrat,5. Slightly conservative,30.0,70.0
2532,25-34,Democrat,1. Extremely liberal,0.0,90.0
2533,35-44,Democrat,6. Conservative,0.0,100.0
2534,25-34,Republican,5. Slightly conservative,75.0,5.0
2544,55-64,Democrat,4. Moderate; middle of the road,0.0,95.0
2546,65+,Republican,6. Conservative,85.0,0.0
2547,25-34,Democrat,2. Liberal,10.0,70.0
2548,18-24,Democrat,3. Slightly liberal,30.0,70.0
2551,25-34,Independent,4. Moderate; middle of the road,70.0,60.0
2552,55-64,Democrat,3. Slightly liberal,0.0,60.0
2553,35-44,Independent,4. Moderate; middle of the road,70.0,50.0
2554,25-34,Democrat,2. Liberal,5.0,90.0
2555,18-24,Republican,3. Slightly liberal,40.0,40.0
2558,55-64,Democrat,2. Liberal,0.0,100.0
2559,18-24,Democrat,4. Moderate; middle of the road,85.0,100.0
2563,35-44,Democrat,3. Slightly liberal,20.0,70.0
2564,55-64,Republican,7. Extremely conservative,85.0,0.0
2565,55-64,Democrat,2. Liberal,1.0,60.0
2568,45-54,Republican,4. Moderate; middle of the road,70.0,85.0
2569,55-64,Democrat,1. Extremely liberal,10.0,65.0
2572,35-44,Democrat,4. Moderate; middle of the road,0.0,40.0
2574,55-64,Republican,4. Moderate; middle of the road,60.0,50.0
2579,55-64,Democrat,2. Liberal,0.0,100.0
2580,35-44,Democrat,2. Liberal,0.0,100.0
2582,55-64,Independent,5. Slightly conservative,20.0,95.0
2583,55-64,Independent,5. Slightly conservative,0.0,0.0
2584,45-54,Democrat,4. Moderate; middle of the road,60.0,50.0
2585,35-44,Republican,5. Slightly conservative,85.0,0.0
2587,25-34,Democrat,2. Liberal,0.0,85.0
2588,25-34,Republican,6. Conservative,100.0,0.0
2590,55-64,Democrat,3. Slightly liberal,0.0,70.0
2591,25-34,Independent,4. Moderate; middle of the road,15.0,30.0
2593,25-34,Democrat,3. Slightly liberal,10.0,90.0
2596,55-64,Democrat,4. Moderate; middle of the road,15.0,60.0
2597,25-34,Democrat,4. Moderate; middle of the road,15.0,85.0
2599,35-44,Independent,4. Moderate; middle of the road,0.0,40.0
2600,55-64,Democrat,2. Liberal,0.0,70.0
2601,18-24,Democrat,1. Extremely liberal,0.0,60.0
2602,45-54,Democrat,2. Liberal,4.0,75.0
2606,55-64,Republican,4. Moderate; middle of the road,70.0,0.0
2607,55-64,Democrat,4. Moderate; middle of the road,0.0,40.0
2609,25-34,Republican,4. Moderate; middle of the road,60.0,30.0
2611,18-24,Democrat,2. Liberal,0.0,95.0
2613,35-44,Republican,5. Slightly conservative,40.0,50.0
2615,25-34,Democrat,3. Slightly liberal,0.0,70.0
2616,35-44,Democrat,1. Extremely liberal,0.0,100.0
2618,35-44,Democrat,3. Slightly liberal,0.0,60.0
2620,55-64,Democrat,3. Slightly liberal,0.0,85.0
2621,35-44,Democrat,4. Moderate; middle of the road,0.0,18.0
2623,25-34,Democrat,3. Slightly liberal,0.0,75.0
2624,45-54,Independent,4. Moderate; middle of the road,15.0,60.0
2625,55-64,Democrat,2. Liberal,10.0,70.0
2626,25-34,Republican,5. Slightly conservative,70.0,0.0
2629,35-44,Republican,4. Moderate; middle of the road,100.0,100.0
2635,25-34,Democrat,4. Moderate; middle of the road,15.0,85.0
2636,35-44,Democrat,4. Moderate; middle of the road,0.0,85.0
2638,35-44,Democrat,6. Conservative,85.0,0.0
2643,25-34,Republican,5. Slightly conservative,30.0,0.0
2645,25-34,Democrat,4. Moderate; middle of the road,40.0,85.0
2646,25-34,Democrat,2. Liberal,0.0,85.0
2649,35-44,Democrat,2. Liberal,0.0,85.0
2651,35-44,Democrat,3. Slightly liberal,20.0,50.0
2652,55-64,Democrat,3. Slightly liberal,0.0,70.0
2653,45-54,Republican,5. Slightly conservative,85.0,15.0
2656,45-54,Republican,5. Slightly conservative,85.0,15.0
2657,55-64,Republican,5. Slightly conservative,100.0,0.0
2660,45-54,Democrat,3. Slightly liberal,1.0,75.0
2666,45-54,Republican,6. Conservative,100.0,0.0
2667,25-34,Democrat,2. Liberal,0.0,100.0
2668,55-64,Republican,6. Conservative,80.0,0.0
2671,35-44,Republican,6. Conservative,90.0,0.0
2672,25-34,Republican,6. Conservative,80.0,15.0
2673,55-64,Republican,4. Moderate; middle of the road,70.0,0.0
2676,45-54,Democrat,1. Extremely liberal,0.0,60.0
2677,55-64,Democrat,2. Liberal,0.0,100.0
2678,35-44,Democrat,4. Moderate; middle of the road,5.0,30.0
2679,45-54,Democrat,4. Moderate; middle of the road,100.0,0.0
2680,55-64,Democrat,1. Extremely liberal,0.0,85.0
2681,25-34,Democrat,1. Extremely liberal,0.0,70.0
2683,35-44,Republican,6. Conservative,70.0,0.0
2684,35-44,Democrat,4. Moderate; middle of the road,0.0,85.0
2686,45-54,Democrat,4. Moderate; middle of the road,30.0,50.0
2688,35-44,Democrat,3. Slightly liberal,15.0,70.0
2690,25-34,Democrat,2. Liberal,0.0,85.0
2692,55-64,Republican,5. Slightly conservative,85.0,0.0
2695,55-64,Republican,6. Conservative,100.0,5.0
2696,55-64,Republican,6. Conservative,70.0,0.0
2699,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
2701,35-44,Independent,4. Moderate; middle of the road,10.0,60.0
2703,18-24,Republican,6. Conservative,0.0,40.0
2704,55-64,Independent,4. Moderate; middle of the road,60.0,0.0
2706,45-54,Republican,6. Conservative,35.0,0.0
2707,25-34,Democrat,2. Liberal,30.0,40.0
2711,25-34,Republican,4. Moderate; middle of the road,100.0,0.0
2715,35-44,Republican,4. Moderate; middle of the road,60.0,0.0
2720,45-54,Democrat,2. Liberal,15.0,70.0
2721,25-34,Republican,6. Conservative,100.0,0.0
2725,35-44,Democrat,2. Liberal,0.0,85.0
2731,35-44,Democrat,2. Liberal,0.0,85.0
2732,45-54,Democrat,3. Slightly liberal,0.0,100.0
2733,65+,Republican,6. Conservative,100.0,0.0
2734,45-54,Independent,4. Moderate; middle of the road,0.0,90.0
2737,45-54,Democrat,4. Moderate; middle of the road,15.0,70.0
2738,55-64,Republican,6. Conservative,85.0,0.0
2741,35-44,Democrat,2. Liberal,0.0,70.0
2743,25-34,Republican,5. Slightly conservative,85.0,5.0
2745,45-54,Republican,6. Conservative,85.0,10.0
2747,35-44,Republican,1. Extremely liberal,100.0,15.0
2748,18-24,Democrat,1. Extremely liberal,0.0,75.0
2749,18-24,Independent,4. Moderate; middle of the road,80.0,50.0
2751,35-44,Republican,6. Conservative,70.0,0.0
2752,18-24,Democrat,4. Moderate; middle of the road,0.0,70.0
2755,25-34,Republican,5. Slightly conservative,15.0,70.0
2758,55-64,Democrat,2. Liberal,0.0,100.0
2759,18-24,Democrat,1. Extremely liberal,0.0,70.0
2762,35-44,Democrat,2. Liberal,0.0,70.0
2765,35-44,Independent,4. Moderate; middle of the road,86.0,0.0
2769,25-34,Democrat,1. Extremely liberal,0.0,97.0
2772,45-54,Democrat,4. Moderate; middle of the road,0.0,70.0
2775,55-64,Democrat,4. Moderate; middle of the road,10.0,75.0
2777,35-44,Independent,4. Moderate; middle of the road,30.0,30.0
2780,25-34,Democrat,2. Liberal,0.0,100.0
2782,55-64,Republican,6. Conservative,90.0,0.0
2784,25-34,Republican,5. Slightly conservative,99.0,0.0
2788,18-24,Democrat,7. Extremely conservative,15.0,100.0
2792,45-54,Independent,3. Slightly liberal,85.0,50.0
2796,55-64,Democrat,6. Conservative,0.0,60.0
2797,45-54,Democrat,5. Slightly conservative,0.0,70.0
2800,35-44,Independent,2. Liberal,15.0,50.0
2801,35-44,Republican,3. Slightly liberal,70.0,0.0
2802,25-34,Independent,4. Moderate; middle of the road,100.0,69.0
2806,45-54,Democrat,1. Extremely liberal,0.0,100.0
2807,35-44,Democrat,2. Liberal,0.0,100.0
2808,25-34,Democrat,2. Liberal,0.0,85.0
2815,35-44,Republican,6. Conservative,75.0,0.0
2818,55-64,Democrat,2. Liberal,0.0,90.0
2824,35-44,Republican,1. Extremely liberal,60.0,60.0
2826,35-44,Republican,7. Extremely conservative,100.0,0.0
2831,25-34,Democrat,3. Slightly liberal,0.0,50.0
2832,55-64,Democrat,3. Slightly liberal,15.0,100.0
2833,55-64,Independent,4. Moderate; middle of the road,50.0,51.0
2835,25-34,Democrat,3. Slightly liberal,0.0,60.0
2836,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
2839,25-34,Democrat,3. Slightly liberal,0.0,80.0
2840,35-44,Republican,4. Moderate; middle of the road,60.0,0.0
2846,35-44,Democrat,3. Slightly liberal,0.0,90.0
2848,25-34,Democrat,1. Extremely liberal,0.0,95.0
2852,35-44,Republican,6. Conservative,70.0,0.0
2854,55-64,Republican,6. Conservative,100.0,0.0
2856,35-44,Democrat,4. Moderate; middle of the road,85.0,15.0
2860,25-34,Republican,7. Extremely conservative,85.0,0.0
2861,35-44,Republican,5. Slightly conservative,60.0,20.0
2863,35-44,Republican,6. Conservative,70.0,10.0
2865,35-44,Democrat,2. Liberal,15.0,85.0
2866,25-34,Republican,6. Conservative,85.0,0.0
2867,25-34,Independent,4. Moderate; middle of the road,40.0,50.0
